Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
BAP81869.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP81871.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP81873.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP81875.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP81877.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP81879.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP81881.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP81883.1,Cyclovirus,Cyclovirus,Cyclovirus,rolling circle replication initiator protein,X,X,X,X
BAP91209.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
BAP91216.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
BAP91223.1,Begomovirus,Begomovirus,Begomovirus,REP,X,X,X,
BAP91230.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
BAP91237.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
BAP91244.1,Begomovirus,Begomovirus,Begomovirus,REP,X,X,X,
BAP91258.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
BAP91265.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
BAP91272.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
BAS01237.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-associated protein,X,X,X,X
BAS02103.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
BAS69604.1,Begomovirus,Begomovirus,Begomovirus,replicase protein,X,X,X,
BAT70750.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
BAU21082.1,Nanovirus,Nanovirus,Nanovirus,master rep protein,X,X,X,X
BAU21323.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
BAU21329.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
BAU21335.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
BAU21341.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
BAU21347.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
BAU21353.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
BAU21359.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
BAU21365.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
BAU21371.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
BAU61804.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
BAU79584.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
BAU79590.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
BAU79671.1,Begomovirus,Begomovirus,Begomovirus,replication-associatyed protein,X,X,X,
BAU80918.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
BAU80924.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
BAV00134.1,Nanovirus,Nanovirus,Nanovirus,master rep,X,X,X,X
BAW32354.1,Begomovirus,Begomovirus,Begomovirus,REP,X,X,X,
CAA05421.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
CAA05427.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
CAA05440.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAA05446.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAA05452.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
CAA05465.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
CAA05471.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
CAA07041.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAA07044.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAA07047.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAA10707.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAA10751.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAA11426.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAA11979.1,Mastrevirus,Mastrevirus,Mastrevirus,31.5 kd RepA protein,X,X,X,
CAA11993.1,Mastrevirus,Mastrevirus,Mastrevirus,31.5 kd RepA protein,X,X,X,
CAA12334.1,Mastrevirus,Mastrevirus,Mastrevirus,31.5 kd RepA protein,X,X,X,X
CAA12341.1,Mastrevirus,Mastrevirus,Mastrevirus,31.5 kd RepA protein,X,X,X,
CAA33688.1,Begomovirus,Begomovirus,Begomovirus,OFF C1,X,X,X,
CAA44747.1,Begomovirus,Begomovirus,Begomovirus,AL1 ORF,X,X,X,
CAA52623.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
CAA57625.1,Mastrevirus,Mastrevirus,Mastrevirus,replication-associated protein A,X,X,X,
CAA65841.1,Curtovirus,Curtovirus,Curtovirus,C1 protein,X,X,X,X
CAA67446.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAA71973.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAA71980.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAA72209.1,Nanovirus,Nanovirus,Nanovirus,putative replicase-associated protein,X,X,X,X
CAA75885.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
CAA81026.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,X
CAA82237.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
CAA88229.1,Begomovirus,Begomovirus,Begomovirus,C1 (replication-associated protein),X,X,X,
CAB44020.1,Nanovirus,Nanovirus,Nanovirus,Rep protein,X,X,X,X
CAB65496.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAB91854.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
CAB96405.1,Nanovirus,Nanovirus,Nanovirus,33.24 kDa master Rep protein,X,X,X,X
CAC18825.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAC41083.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
CAC44748.2,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
CAC50244.1,Circovirus,Circovirus,Circovirus,replication associated protein,X,X,X,
CAC50250.1,Circovirus,Circovirus,Circovirus,replication associated protein,X,X,X,
CAC50261.1,Circovirus,Circovirus,Circovirus,putative replication associated protein,X,X,X,
CAC69850.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAC84661.1,Mastrevirus,Mastrevirus,Mastrevirus,Replication-associated protein A,X,X,X,
CAC85354.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAC85460.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAC85475.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAC85503.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAC85509.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAC85518.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAC94877.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
CAD12403.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD12409.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD12415.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD12421.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD13503.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD18843.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
CAD20827.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAD24677.1,Begomovirus,Begomovirus,Begomovirus,replication assciated protein,X,X,X,
CAD26868.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD27697.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAD27703.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAD30013.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD30020.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD30054.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAD30060.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAD32806.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,X
CAD33251.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAD42619.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAD42625.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAD42631.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAD42830.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAD47799.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAD48531.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAD48536.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAD54706.1,Begomovirus,Begomovirus,Begomovirus,putative replication associated protein,X,X,X,
CAD54712.1,Begomovirus,Begomovirus,Begomovirus,putative replication associated protein,X,X,X,
CAD54718.1,Begomovirus,Begomovirus,Begomovirus,putative replication associated protein,X,X,X,
CAD54724.1,Begomovirus,Begomovirus,Begomovirus,putative replication associated protein,X,X,X,
CAD54827.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAD54833.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAD56703.1,Begomovirus,Begomovirus,Begomovirus,replicaton initiation protein,X,X,X,
CAD57982.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD58402.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAD62695.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD65896.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAD67491.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD79315.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD89704.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD89709.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAD90060.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD90066.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,X
CAD90078.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD90084.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD90090.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD90096.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD90102.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD90108.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD90114.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAD91703.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
CAD92241.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
CAD92247.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
CAD92253.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
CAD97701.1,Begomovirus,Begomovirus,Begomovirus,replication-related protein,X,X,X,
CAE01424.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAE05934.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAE12054.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
CAE22456.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAE52826.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAE55231.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAF02045.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAF02051.1,Begomovirus,Begomovirus,Begomovirus,Replication Associated Protein,X,X,X,
CAF02057.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAF02063.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAF04471.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAF29513.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAG28768.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAG28780.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAG32831.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAH03768.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAH04380.1,Mastrevirus,Mastrevirus,Mastrevirus,replication associate protein A,X,X,X,
CAH10918.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAH17662.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAH17668.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAH17791.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAH18740.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAH18979.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAH18993.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAH23281.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAH61312.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAH64547.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAI26261.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI26267.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI26273.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI26279.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI26285.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI30106.1,Begomovirus,Begomovirus,Begomovirus,relication initiation protein,X,X,X,
CAI44691.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAI44699.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,X
CAI45383.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAI45391.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAI64596.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI64602.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI64608.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI64614.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI64619.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI64625.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAI82279.1,Circovirus,NaN,NaN,putative replication associated protein,X,,,
CAI84280.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAI84286.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAI96132.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAI96147.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAI96156.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ15646.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAJ18314.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAJ19090.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ19254.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAJ19266.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAJ31064.1,Circovirus,Circovirus,Circovirus,replication protein,X,X,X,
CAJ57822.2,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
CAJ76440.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAJ76446.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAJ76469.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAJ77942.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77948.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77954.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77960.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77966.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,X
CAJ77972.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77978.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77984.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77990.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ77996.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,X
CAJ78008.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78014.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78020.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78026.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78038.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78044.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78056.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78062.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78068.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78074.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78080.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78086.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78098.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78104.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78110.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78122.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78128.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78134.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78140.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78146.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78152.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78158.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78164.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78170.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78182.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78188.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78194.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78200.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78206.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78212.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78218.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,X
CAJ78224.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78230.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78236.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78242.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78248.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78254.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78260.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78266.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78272.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78278.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78284.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78290.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78296.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78302.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78308.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78314.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,X
CAJ78320.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78326.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78332.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,X
CAJ78338.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ78344.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ85950.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAJ85956.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAJ85992.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ85998.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ86010.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ86022.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ87650.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAJ90656.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAJ97381.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAJ97387.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAJ98461.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
CAJ98475.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAJ98481.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAK02782.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAK54965.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAL15161.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAL15167.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
CAL18283.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
CAL22873.1,Begomovirus,Begomovirus,Begomovirus,replication association protein,X,X,X,
CAL30114.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
CAL30118.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
CAL30123.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
CAL30128.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
CAL30133.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
CAL30137.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
CAL49069.1,Begomovirus,Begomovirus,Begomovirus,AC1 gene product,X,X,X,
CAL64779.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAL69632.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAL90976.1,Babuvirus,Babuvirus,Babuvirus,master replication associated protein,X,X,X,X
CAL90978.1,Babuvirus,Babuvirus,Babuvirus,master replication associated protein,X,X,X,
CAL90980.1,Babuvirus,Babuvirus,Babuvirus,master replication associated protein,X,X,X,
CAM07145.1,Begomovirus,Begomovirus,Begomovirus,Replication-associated protein,X,X,X,
CAM33225.1,Mastrevirus,Mastrevirus,Mastrevirus,replication-associated protein A,X,X,X,
CAM33231.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAM33238.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAM33399.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAM56761.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
CAM59262.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59355.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59361.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59367.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59373.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59379.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59391.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59397.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,X
CAM59403.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59409.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59415.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59421.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59427.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59433.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM59447.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
CAM84545.1,Begomovirus,Begomovirus,Begomovirus,AC1 pritein,X,X,X,
CAM84571.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
CAM91669.1,Begomovirus,Begomovirus,Begomovirus,replication association protein,X,X,X,
CAM91825.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAM91831.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
CAM91851.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
