Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AGT45288.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45292.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45296.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45300.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45304.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45308.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45312.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45316.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45324.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45328.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45332.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45340.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45352.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45356.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45360.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45364.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45368.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45372.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45376.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45380.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45384.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45388.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45392.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45396.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45400.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45408.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45412.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45416.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45421.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45424.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45428.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45432.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45437.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45441.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45445.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45448.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45452.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45456.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45460.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45464.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45468.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
AGT45473.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT45476.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AGT50911.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGT55972.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGT55978.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
